candidate_id,rank,score,reasoning
CAND_0018499,1,1.0,"Brings Flipkart pedigree to Zomato as Senior Machine Learning Engineer, with 7 years spanning ranking and retrieval. Technical profile: Recommendation Systems expertise backed by 8 JD-aligned technical skills, plus 3 production deployments across 7 years of retrieval-focused work. Strong signals: broad skill overlap across 13 JD requirements, Noida-based, actively seeking new roles."
CAND_0077337,2,0.984804,"Staff Machine Learning Engineer at Paytm with a Georgia Tech Computer Engineering background and 6 years of ranking and retrieval experience. Skill profile centers on BM25 and 8 other JD-priority areas and 83 months of retrieval work with 4 shipped systems. Open-source activity provides the external validation JD requires, India-based, willing to relocate, 95% recruiter response rate and actively looking."
CAND_0081846,3,0.938838,"Lead AI Engineer at Razorpay with an IIT Hyderabad Data Science background and 6 years of ranking and retrieval experience. Technical profile: Primary strength in Information Retrieval, plus 9 other core JD skills — 2 production deployments across 6 years of retrieval-focused work. Strong signals: product-company track record matches JD preference, India-based, willing to relocate, 73% recruiter response rate and actively looking."
CAND_0071974,4,0.93017,"Former Meta engineer with 7 years in ranking and retrieval, now Senior AI Engineer at Netflix. Core competency in BM25 with 9 JD-critical skills matched; 92 months of retrieval work with 3 shipped systems. Open-source activity provides the external validation JD requires, 76% recruiter response rate and actively looking, GitHub activity score 82 (external validation)."
CAND_0064326,5,0.923631,"Former Apple engineer with 7 years in ranking and retrieval, now Search Engineer at Sarvam AI. Core competency in Weaviate with 5 JD-critical skills matched; 5 years in retrieval/ranking roles. Product-company track record matches JD preference, Gurgaon-based, 94% recruiter response rate and actively looking; minor note: 45d notice (JD prefers sub-30)."
CAND_0019480,6,0.911079,"Currently NLP Engineer at Meesho, with 5 years focused specifically on search, ranking, and retrieval systems. Technical profile: Primary strength in Milvus, plus 2 other core JD skills — 3 production deployments across 5 years of retrieval-focused work. Open-source activity provides the external validation JD requires, Chennai-based; some concern on 90d notice (JD prefers sub-30)."
CAND_0046525,7,0.908376,"Senior Machine Learning Engineer at Genpact AI who previously built ML systems at LinkedIn, bringing 6 years of ranking and retrieval experience. Skill profile centers on Sentence Transformers and 3 other JD-priority areas and 73 months of retrieval work with 2 shipped systems. Salary expectation aligns with senior IC band, Pune-based — though 60d notice (JD prefers sub-30)."
CAND_0092278,8,0.899228,"IIT Delhi Computer Science graduate, now Senior NLP Engineer at Microsoft with 6 years in ranking and retrieval. Technical profile: Elasticsearch expertise backed by 4 JD-aligned technical skills, plus 3 production deployments across 6 years of retrieval-focused work. Directly matches the JD's retrieval systems mandate, Pune-based; some concern on 90d notice (JD prefers sub-30)."
CAND_0039383,9,0.898012,"IISc Bangalore Artificial Intelligence graduate, now Applied ML Engineer at Meesho with 7 years in ranking and retrieval. Technical profile: FAISS expertise backed by 4 JD-aligned technical skills, plus 2 production deployments across 7 years of retrieval-focused work. Broad skill overlap across 12 JD requirements, Gurgaon-based; some concern on 90d notice (JD prefers sub-30)."
CAND_0011687,10,0.897815,"Trained in Artificial Intelligence at IIT Delhi, now applying 7 years of ranking and retrieval expertise as Senior NLP Engineer at Niramai. Technical profile: Primary strength in OpenSearch, plus 4 other core JD skills — 2 production deployments across 7 years of retrieval-focused work. Pre-LLM production ML depth that the JD specifically values and 89% recruiter response rate and actively looking."
CAND_0079387,11,0.897277,"Trained in Computer Science at IIIT Hyderabad, now applying 6 years of ranking and retrieval expertise as AI Engineer at Microsoft. Technical profile: Python expertise backed by 7 JD-aligned technical skills, plus 2 production deployments across 3 years of retrieval-focused work. Broad skill overlap across 11 JD requirements and 81% recruiter response rate and actively looking."
CAND_0091909,12,0.89336,"Brings Meta pedigree to Rephrase.ai as Machine Learning Engineer, with 6 years spanning ranking and retrieval. Technical profile: Pinecone expertise backed by 5 JD-aligned technical skills, plus 2 production deployments across 6 years of retrieval-focused work. Vector DB proficiency aligns with JD's hybrid search needs, Bangalore-based. Note: 45d notice (JD prefers sub-30)."
