candidate_id,rank,score,reasoning
CAND_0018499,1,1.0,"Senior Machine Learning Engineer at Zomato with 7+ years building ranking and retrieval systems at product companies; core competency in Recommendation Systems and 7 other JD-critical skills. Noida-based (preferred location), actively open to new roles, and active open-source contributor (GitHub score 94)."
CAND_0053605,2,0.9761,"Senior Software Engineer (ML) at Verloop.io with 3+ years building ranking and retrieval systems at product companies; core competency in Semantic Search. Noida-based (preferred location), actively seeking roles with 88% recruiter response rate, and available within 30 days."
CAND_0041669,3,0.971,"Recommendation Systems Engineer at CRED with 3+ years building ranking and retrieval systems at product companies; core competency in Milvus and 5 other JD-critical skills. Noida-based (preferred location), actively seeking roles with 77% recruiter response rate, and active open-source contributor (GitHub score 70)."
CAND_0007009,4,0.9682,"Recommendation Systems Engineer at Wysa with 2+ years building ranking and retrieval systems at product companies; core competency in Python and 6 other JD-critical skills. Noida-based (preferred location), actively open to new roles, and active open-source contributor (GitHub score 69)."
CAND_0064326,5,0.9668,"Search Engineer at Sarvam AI with 5+ years building ranking and retrieval systems at product companies; core competency in Weaviate and 4 other JD-critical skills. Gurgaon-based (preferred location), actively seeking roles with 94% recruiter response rate, and active open-source contributor (GitHub score 61)."
CAND_0027691,6,0.9651,"NLP Engineer at Haptik with 4+ years building ranking and retrieval systems at product companies; core competency in Recommendation Systems and 5 other JD-critical skills. Pune-based (preferred location), actively open to new roles, and active open-source contributor (GitHub score 58)."
CAND_0046525,7,0.964,"Senior Machine Learning Engineer at Genpact AI with 6+ years building ranking and retrieval systems at product companies; core competency in Sentence Transformers and 3 other JD-critical skills. Pune-based (preferred location), actively seeking roles with 88% recruiter response rate, and strong platform assessment scores (avg 81/100)."
CAND_0042506,8,0.9619,"Search Engineer at Verloop.io with 2+ years building ranking and retrieval systems at product companies; core competency in Information Retrieval and 4 other JD-critical skills. Mumbai-based (preferred location), actively open to new roles, and active open-source contributor (GitHub score 64)."
CAND_0050454,9,0.9562,"AI Engineer at Rephrase.ai with 6+ years building ranking and retrieval systems at product companies; core competency in FAISS. Delhi-based (preferred location), actively seeking roles with 77% recruiter response rate, and available within 30 days."
CAND_0068811,10,0.9547,"Applied ML Engineer at Freshworks with 3+ years building ranking and retrieval systems at product companies; core competency in Vector Search and 5 other JD-critical skills. Pune-based (preferred location), actively open to new roles, and available within 30 days."
CAND_0067866,11,0.9487,"Senior Software Engineer (ML) at Tech Mahindra with 3+ years building ranking and retrieval systems at product companies; core competency in Embeddings. Noida-based (preferred location), actively seeking roles with 79% recruiter response rate."
CAND_0043228,12,0.9448,"Applied ML Engineer at Zoho with 3+ years building ranking and retrieval systems at product companies; core competency in Sentence Transformers and 4 other JD-critical skills. Chennai-based (preferred location), available within 30 days, and strong platform assessment scores (avg 73/100)."
CAND_0091909,13,0.9417,"Machine Learning Engineer at Rephrase.ai with 6+ years building ranking and retrieval systems at product companies; core competency in Pinecone and 4 other JD-critical skills. Bangalore-based (preferred location), actively open to new roles, and strong platform assessment scores (avg 84/100)."
CAND_0054123,14,0.9405,"Applied ML Engineer at Meta with 4+ years building ranking and retrieval systems at product companies; core competency in Weaviate and 4 other JD-critical skills. Gurgaon-based (preferred location), strong recruiter engagement (87% response rate), and active open-source contributor (GitHub score 71)."
CAND_0048558,15,0.9403,"Data Scientist at Rephrase.ai with 2+ years building ranking and retrieval systems at product companies; core competency in OpenSearch and 3 other JD-critical skills. Noida-based (preferred location), actively seeking roles with 80% recruiter response rate, and available within 30 days."
CAND_0066999,16,0.9387,"Recommendation Systems Engineer at Microsoft with 4+ years building ranking and retrieval systems at product companies; core competency in FAISS and 5 other JD-critical skills. Delhi-based (preferred location), actively open to new roles, and active open-source contributor (GitHub score 94)."
CAND_0005509,17,0.9341,"Data Scientist at Ola with 4+ years building ranking and retrieval systems at product companies; core competency in Qdrant. Noida-based (preferred location), actively open to new roles, and active open-source contributor (GitHub score 74)."
CAND_0073007,18,0.9315,"AI Specialist at Aganitha with 4+ years building ranking and retrieval systems at product companies; core competency in Embeddings. Bangalore-based (preferred location), actively seeking roles with 83% recruiter response rate, and active open-source contributor (GitHub score 66)."
CAND_0045250,19,0.9313,"Applied ML Engineer at Rephrase.ai with 3+ years building ranking and retrieval systems at product companies; core competency in Sentence Transformers and 5 other JD-critical skills. Delhi-based (preferred location), strong recruiter engagement (74% response rate), and available within 30 days."
CAND_0081846,20,0.9312,"Lead AI Engineer at Razorpay with 6+ years building ranking and retrieval systems at product companies; core competency in Information Retrieval and 9 other JD-critical skills. Willing to relocate within India, actively seeking roles with 73% recruiter response rate, and available within 30 days."
CAND_0070525,21,0.9311,"Senior Software Engineer (ML) at Mad Street Den with 2+ years building ranking and retrieval systems at product companies; core competency in Recommendation Systems. Hyderabad-based (preferred location), actively seeking roles with 93% recruiter response rate, and strong platform assessment scores (avg 63/100)."
CAND_0030953,22,0.9284,"Search Engineer at Nykaa with 7+ years building ranking and retrieval systems at product companies; core competency in Qdrant and 3 other JD-critical skills. Chennai-based (preferred location), strong platform assessment scores (avg 75/100)."
CAND_0087630,23,0.9276,"AI Engineer at Vedantu with 7+ years building ranking and retrieval systems at product companies; core competency in Sentence Transformers and 5 other JD-critical skills. Gurgaon-based (preferred location), available within 30 days, and strong platform assessment scores (avg 62/100)."
CAND_0017960,24,0.9269,"Recommendation Systems Engineer at Nykaa with 6+ years building ranking and retrieval systems at product companies; core competency in Information Retrieval. Bangalore-based (preferred location), actively seeking roles with 72% recruiter response rate, and active open-source contributor (GitHub score 92)."
CAND_0079284,25,0.9258,"Machine Learning Engineer at Google with 4+ years building ranking and retrieval systems at product companies; core competency in Recommendation Systems. Hyderabad-based (preferred location), strong recruiter engagement (79% response rate), and available within 30 days."
CAND_0075574,26,0.9244,"Machine Learning Engineer at Haptik with 5+ years building ranking and retrieval systems at product companies; core competency in Weaviate and 6 other JD-critical skills. Bangalore-based (preferred location), actively open to new roles, and strong platform assessment scores (avg 64/100)."
CAND_0077337,27,0.9233,"Staff Machine Learning Engineer at Paytm with 6+ years building ranking and retrieval systems at product companies; core competency in BM25 and 8 other JD-critical skills. Willing to relocate within India, actively seeking roles with 95% recruiter response rate, and active open-source contributor (GitHub score 68)."
CAND_0061257,28,0.9225,"Staff Machine Learning Engineer at LinkedIn with 7+ years building ranking and retrieval systems at product companies; core competency in Search Infrastructure and 3 other JD-critical skills. Noida-based (preferred location), actively seeking roles with 87% recruiter response rate, and available within 30 days."
CAND_0042029,29,0.9221,"Senior Data Scientist at Flipkart with 3+ years building ranking and retrieval systems at product companies; core competency in Embeddings and 4 other JD-critical skills. Delhi-based (preferred location), active open-source contributor (GitHub score 78), and strong platform assessment scores (avg 70/100)."
CAND_0006418,30,0.9219,"Machine Learning Engineer at Verloop.io with 3+ years building ranking and retrieval systems at product companies; core competency in Semantic Search and 6 other JD-critical skills. Gurgaon-based (preferred location), actively seeking roles with 92% recruiter response rate, and active open-source contributor (GitHub score 59)."
CAND_0030348,31,0.9205,"Machine Learning Engineer at BYJU'S with 4+ years building ranking and retrieval systems at product companies; core competency in Python and 3 other JD-critical skills. Noida-based (preferred location), actively open to new roles."
CAND_0014440,32,0.9172,"Recommendation Systems Engineer at CRED with 5+ years building ranking and retrieval systems at product companies; core competency in FAISS and 3 other JD-critical skills. Chennai-based (preferred location), actively open to new roles, and active open-source contributor (GitHub score 89)."
CAND_0000031,33,0.916,"Recommendation Systems Engineer at Swiggy with 5+ years building ranking and retrieval systems at product companies; core competency in Pinecone and 4 other JD-critical skills. Hyderabad-based (preferred location), actively seeking roles with 91% recruiter response rate, and strong platform assessment scores (avg 65/100)."
CAND_0037000,34,0.914,"Search Engineer at Unacademy with 4+ years building ranking and retrieval systems at product companies; core competency in FAISS and 5 other JD-critical skills. Noida-based (preferred location), active open-source contributor (GitHub score 66), and available within 30 days. Some concern: not currently marked open to opportunities."
CAND_0068932,35,0.912,"ML Engineer at Krutrim with 3+ years building ranking and retrieval systems at product companies; core competency in OpenSearch. Noida-based (preferred location), actively seeking roles with 82% recruiter response rate, and active open-source contributor (GitHub score 70)."
CAND_0006567,36,0.9118,"Senior AI Engineer at Meta with 5+ years building ranking and retrieval systems at product companies; core competency in Python and 5 other JD-critical skills. Noida-based (preferred location), actively seeking roles with 79% recruiter response rate, and strong platform assessment scores (avg 76/100)."
CAND_0012888,37,0.9117,"Junior ML Engineer at Genpact AI with 2+ years building ranking and retrieval systems at product companies; matched on scikit-learn. Delhi-based (preferred location), actively open to new roles, and available within 30 days."
CAND_0004402,38,0.9112,"AI Research Engineer at Yellow.ai with 2+ years building ranking and retrieval systems at product companies; core competency in Learning to Rank and 3 other JD-critical skills. Delhi-based (preferred location), actively seeking roles with 83% recruiter response rate, and strong platform assessment scores (avg 68/100)."
CAND_0005260,39,0.9096,"Senior NLP Engineer at Netflix with 5+ years building ranking and retrieval systems at product companies; core competency in Semantic Search and 3 other JD-critical skills. Chennai-based (preferred location), strong recruiter engagement (86% response rate), and strong platform assessment scores (avg 80/100). Some concern: not currently marked open to opportunities."
CAND_0083879,40,0.9092,"Machine Learning Engineer at Ola with 5+ years building ranking and retrieval systems at product companies; core competency in Sentence Transformers. Noida-based (preferred location), actively open to new roles, and available within 30 days."
CAND_0096172,41,0.9082,"NLP Engineer at Krutrim with 5+ years building ranking and retrieval systems at product companies; core competency in OpenSearch and 5 other JD-critical skills. Chennai-based (preferred location), active open-source contributor (GitHub score 65). Some concern: not currently marked open to opportunities."
CAND_0096104,42,0.9056,"AI Specialist at Yellow.ai with 3+ years building ranking and retrieval systems at product companies; core competency in Pinecone. Delhi-based (preferred location), actively open to new roles, and active open-source contributor (GitHub score 72)."
CAND_0009024,43,0.9023,"Search Engineer at Google with 5+ years building ranking and retrieval systems at product companies; core competency in Recommendation Systems and 3 other JD-critical skills. Chennai-based (preferred location), actively open to new roles, and available within 30 days."
CAND_0060054,44,0.902,"AI Engineer at Mad Street Den with 6+ years building ranking and retrieval systems at product companies; core competency in Elasticsearch and 4 other JD-critical skills. Willing to relocate within India, strong recruiter engagement (86% response rate), and available within 30 days. Some concern: not currently marked open to opportunities."
CAND_0054394,45,0.9008,"Recommendation Systems Engineer at PharmEasy with 4+ years building ranking and retrieval systems at product companies; core competency in Embeddings. Pune-based (preferred location), actively open to new roles, and available within 30 days."
CAND_0020877,46,0.9001,"Applied ML Engineer at CRED with 3+ years building ranking and retrieval systems at product companies; core competency in Elasticsearch and 5 other JD-critical skills. Gurgaon-based (preferred location), active open-source contributor (GitHub score 74), and strong platform assessment scores (avg 70/100). Some concern: not currently marked open to opportunities."
CAND_0068351,47,0.8984,"Lead AI Engineer at Sarvam AI with 2+ years building ranking and retrieval systems at product companies; core competency in Qdrant and 5 other JD-critical skills. Delhi-based (preferred location), strong recruiter engagement (86% response rate). Some concern: not currently marked open to opportunities."
CAND_0036863,48,0.8958,"Senior Data Scientist at upGrad with 3+ years building ranking and retrieval systems at product companies; core competency in Qdrant and 3 other JD-critical skills. Chennai-based (preferred location), actively open to new roles, and strong platform assessment scores (avg 83/100)."
CAND_0074024,49,0.8932,"AI Specialist at Haptik with 3+ years building ranking and retrieval systems at product companies; matched on scikit-learn. Delhi-based (preferred location), actively open to new roles, and available within 30 days."
CAND_0017178,50,0.8928,"ML Engineer at Swiggy with 2+ years building ranking and retrieval systems at product companies; core competency in PEFT. Hyderabad-based (preferred location), strong recruiter engagement (85% response rate), and available within 30 days. Some concern: not currently marked open to opportunities."
CAND_0005649,51,0.8926,"Senior Data Scientist at Sarvam AI with 2+ years building ranking and retrieval systems at product companies; core competency in Recommendation Systems and 3 other JD-critical skills. Delhi-based (preferred location), actively open to new roles, and active open-source contributor (GitHub score 80)."
CAND_0073504,52,0.8925,"Junior ML Engineer at PolicyBazaar with 2+ years building ranking and retrieval systems at product companies; core competency in Elasticsearch. Gurgaon-based (preferred location), actively seeking roles with 78% recruiter response rate, and active open-source contributor (GitHub score 61)."
CAND_0062247,53,0.8905,"AI Engineer at Google with 7+ years building ranking and retrieval systems at product companies; core competency in Vector Search and 5 other JD-critical skills. Willing to relocate within India, actively seeking roles with 78% recruiter response rate, and active open-source contributor (GitHub score 52)."
CAND_0011432,54,0.888,"Senior Data Scientist at Amazon with 4+ years building ranking and retrieval systems at product companies; core competency in OpenSearch. Chennai-based (preferred location), actively open to new roles, and strong platform assessment scores (avg 60/100)."
CAND_0007596,55,0.8872,"Junior ML Engineer at Flipkart with 3+ years building ranking and retrieval systems at product companies; core competency in Weaviate and 3 other JD-critical skills. Delhi-based (preferred location), actively seeking roles with 86% recruiter response rate."
CAND_0025882,56,0.887,"Senior Software Engineer (ML) at Freshworks with 4+ years building ranking and retrieval systems at product companies; core competency in FAISS. Chennai-based (preferred location), actively seeking roles with 79% recruiter response rate, and strong platform assessment scores (avg 73/100)."
CAND_0044855,57,0.8858,"Senior Data Scientist at Flipkart with 3+ years building ranking and retrieval systems at product companies; core competency in Learning to Rank and 6 other JD-critical skills. Willing to relocate within India, strong platform assessment scores (avg 69/100). Some concern: not currently marked open to opportunities."
