candidate_id,rank,score,reasoning
CAND_0018549,1,1.0,"Recommendation Systems Engineer at Uber with 6+ years building ranking and retrieval systems at product companies; core competency in Weaviate and 4 other JD-critical skills. Willing to relocate within India, actively seeking roles with 73% recruiter response rate, and active open-source contributor (GitHub score 56)."
CAND_0047721,2,1.0,"Senior Data Scientist at Microsoft with 7+ years building ranking and retrieval systems at product companies; core competency in Learning to Rank and 5 other JD-critical skills. Willing to relocate within India, active open-source contributor (GitHub score 90), and strong platform assessment scores (avg 77/100)."
CAND_0062247,3,1.0,"AI Engineer at Google with 7+ years building ranking and retrieval systems at product companies; core competency in Vector Search and 5 other JD-critical skills. Willing to relocate within India, actively seeking roles with 78% recruiter response rate, and active open-source contributor (GitHub score 52)."
CAND_0081846,4,1.0,"Lead AI Engineer at Razorpay with 6+ years building ranking and retrieval systems at product companies; core competency in Information Retrieval and 9 other JD-critical skills. Willing to relocate within India, actively seeking roles with 73% recruiter response rate, and available within 30 days."
CAND_0077337,5,0.9983999729156494,"Staff Machine Learning Engineer at Paytm with 6+ years building ranking and retrieval systems at product companies; core competency in BM25 and 8 other JD-critical skills. Willing to relocate within India, actively seeking roles with 95% recruiter response rate, and active open-source contributor (GitHub score 68)."
CAND_0092278,6,0.9976000189781189,"Senior NLP Engineer at Microsoft with 6+ years building ranking and retrieval systems at product companies; core competency in Elasticsearch and 3 other JD-critical skills. Pune-based (preferred location), strong platform assessment scores (avg 66/100), and Tier-1 institution background."
CAND_0087630,7,0.9973999857902527,"AI Engineer at Vedantu with 7+ years building ranking and retrieval systems at product companies; core competency in Sentence Transformers and 5 other JD-critical skills. Gurgaon-based (preferred location), available within 30 days, and strong platform assessment scores (avg 62/100)."
CAND_0039383,8,0.9969000220298767,"Applied ML Engineer at Meesho with 7+ years building ranking and retrieval systems at product companies; core competency in FAISS and 3 other JD-critical skills. Gurgaon-based (preferred location), actively open to new roles, and active open-source contributor (GitHub score 86)."
CAND_0044222,9,0.9969000220298767,"AI Engineer at PolicyBazaar with 7+ years building ranking and retrieval systems at product companies; core competency in OpenSearch and 4 other JD-critical skills. Actively open to new roles, Tier-1 institution background."
CAND_0018499,10,0.9968000054359436,"Senior Machine Learning Engineer at Zomato with 7+ years building ranking and retrieval systems at product companies; core competency in Recommendation Systems and 7 other JD-critical skills. Noida-based (preferred location), actively open to new roles, and active open-source contributor (GitHub score 94)."
CAND_0075249,11,0.9959999918937683,"Applied ML Engineer at Zomato with 6+ years building ranking and retrieval systems at product companies; core competency in Sentence Transformers and 4 other JD-critical skills. Actively seeking roles with 82% recruiter response rate, strong platform assessment scores (avg 67/100)."
CAND_0093547,12,0.9959999918937683,"Senior Machine Learning Engineer at PhonePe with 6+ years building ranking and retrieval systems at product companies; core competency in Milvus and 5 other JD-critical skills. Strong recruiter engagement (75% response rate), active open-source contributor (GitHub score 59), and strong platform assessment scores (avg 82/100)."
CAND_0008425,13,0.9958000183105469,"Senior NLP Engineer at Ola with 7+ years building ranking and retrieval systems at product companies; core competency in Learning to Rank and 6 other JD-critical skills. Actively open to new roles, active open-source contributor (GitHub score 53), and strong platform assessment scores (avg 77/100)."
CAND_0011687,14,0.9958000183105469,"Senior NLP Engineer at Niramai with 7+ years building ranking and retrieval systems at product companies; core competency in OpenSearch and 4 other JD-critical skills. Actively seeking roles with 89% recruiter response rate, active open-source contributor (GitHub score 76), and available within 30 days."
CAND_0071974,15,0.9958000183105469,"Senior AI Engineer at Netflix with 7+ years building ranking and retrieval systems at product companies; core competency in BM25 and 8 other JD-critical skills. Actively seeking roles with 76% recruiter response rate, active open-source contributor (GitHub score 82), and strong platform assessment scores (avg 79/100)."
CAND_0091909,16,0.995199978351593,"Machine Learning Engineer at Rephrase.ai with 6+ years building ranking and retrieval systems at product companies; core competency in Pinecone and 4 other JD-critical skills. Bangalore-based (preferred location), actively open to new roles, and strong platform assessment scores (avg 84/100)."
CAND_0007411,17,0.9932000041007996,"Senior Machine Learning Engineer at Amazon with 7+ years building ranking and retrieval systems at product companies; core competency in OpenSearch and 5 other JD-critical skills. Willing to relocate within India, active open-source contributor (GitHub score 89), and available within 30 days. Some concern: low recruiter responsiveness; inactive on platform for 6+ months."
CAND_0046064,18,0.9932000041007996,"Senior NLP Engineer at Salesforce with 8+ years building ranking and retrieval systems at product companies; core competency in Python and 5 other JD-critical skills. Actively seeking roles with 78% recruiter response rate, active open-source contributor (GitHub score 67), and available within 30 days."
CAND_0046525,19,0.9927999973297119,"Senior Machine Learning Engineer at Genpact AI with 6+ years building ranking and retrieval systems at product companies; core competency in Sentence Transformers and 3 other JD-critical skills. Pune-based (preferred location), actively seeking roles with 88% recruiter response rate, and strong platform assessment scores (avg 81/100)."
CAND_0060054,20,0.991599977016449,"AI Engineer at Mad Street Den with 6+ years building ranking and retrieval systems at product companies; core competency in Elasticsearch and 4 other JD-critical skills. Willing to relocate within India, strong recruiter engagement (86% response rate), and available within 30 days."
CAND_0088025,21,0.991599977016449,"Staff Machine Learning Engineer at Yellow.ai with 8+ years building ranking and retrieval systems at product companies; core competency in BM25 and 4 other JD-critical skills. Actively seeking roles with 83% recruiter response rate, active open-source contributor (GitHub score 74), and strong platform assessment scores (avg 90/100)."
CAND_0094759,22,0.991599977016449,"Lead AI Engineer at Meta with 8+ years building ranking and retrieval systems at product companies; core competency in Semantic Search and 5 other JD-critical skills. Mumbai-based (preferred location), active open-source contributor (GitHub score 76), and available within 30 days. Some concern: low recruiter responsiveness."
CAND_0033861,23,0.9911999702453613,"Senior NLP Engineer at Mad Street Den with 7+ years building ranking and retrieval systems at product companies; core competency in Elasticsearch and 7 other JD-critical skills. Available within 30 days, strong platform assessment scores (avg 73/100). Some concern: low recruiter responsiveness."
CAND_0036184,24,0.9902999997138977,"Recommendation Systems Engineer at CRED with 5+ years building ranking and retrieval systems at product companies; core competency in Semantic Search and 5 other JD-critical skills. Actively seeking roles with 90% recruiter response rate, available within 30 days, and strong platform assessment scores (avg 62/100)."
CAND_0030953,25,0.9890999794006348,"Search Engineer at Nykaa with 7+ years building ranking and retrieval systems at product companies; core competency in Qdrant and 3 other JD-critical skills. Chennai-based (preferred location), strong platform assessment scores (avg 75/100)."
CAND_0050454,26,0.9878000020980835,"AI Engineer at Rephrase.ai with 6+ years building ranking and retrieval systems at product companies; core competency in FAISS. Delhi-based (preferred location), actively seeking roles with 77% recruiter response rate, and available within 30 days."
CAND_0057563,27,0.9878000020980835,"NLP Engineer at Locobuzz with 6+ years building ranking and retrieval systems at product companies; core competency in Elasticsearch. Willing to relocate within India, strong recruiter engagement (83% response rate), and strong platform assessment scores (avg 80/100)."
CAND_0050876,28,0.9871000051498413,"Applied ML Engineer at Freshworks with 5+ years building ranking and retrieval systems at product companies; core competency in Sentence Transformers and 4 other JD-critical skills. Actively open to new roles, active open-source contributor (GitHub score 86), and strong platform assessment scores (avg 65/100)."
CAND_0002025,29,0.9861999750137329,"Senior AI Engineer at Apple with 5+ years building ranking and retrieval systems at product companies; core competency in FAISS and 6 other JD-critical skills. Actively seeking roles with 80% recruiter response rate, active open-source contributor (GitHub score 96), and available within 30 days."
