candidate_id,rank,score,reasoning
CAND_0018499,1,1.0,"Former Flipkart engineer, now Senior Machine Learning Engineer at Zomato with 7+ years in ranking and retrieval systems; core competency in Recommendation Systems and 7 other JD-critical skills. Shows the pre-LLM production ML depth the JD values, Noida-based, Tier-1 Massachusetts Institute of Technology background."
CAND_0077337,2,0.984804,"Staff Machine Learning Engineer at Paytm, Georgia Tech Computer Engineering graduate with 6 years in ranking and retrieval systems; core competency in BM25 and 8 other JD-critical skills. Directly fits the JD's production retrieval mandate, willing to relocate within India, 1 ML/cloud cert."
CAND_0081846,3,0.938838,"Lead AI Engineer at Razorpay, IIT Hyderabad Data Science graduate with 6 years in ranking and retrieval systems; core competency in Information Retrieval and 9 other JD-critical skills. Salary expectations align with senior IC compensation at this stage, willing to relocate within India, 1 ML/cloud cert."
CAND_0071974,4,0.93017,"Former Meta engineer, now Senior AI Engineer at Netflix with 7+ years in ranking and retrieval systems; core competency in BM25 and 8 other JD-critical skills. Skill set overlaps with multiple JD requirements, Tier-1 NIT Warangal background; some concern on notice period 45d (JD prefers sub-30)."
CAND_0064326,5,0.923631,"Former Apple engineer, now Search Engineer at Sarvam AI with 7+ years in ranking and retrieval systems; core competency in Weaviate and 4 other JD-critical skills. Shows the pre-LLM production ML depth the JD values, Gurgaon-based; some concern on notice period 45d (JD prefers sub-30)."
CAND_0019480,6,0.911079,"NLP Engineer at Meesho with 7 years of applied AI/ML, including 5 years focused on ranking and retrieval (7.2 years verified from career history, 2.8 stated); core competency in Milvus. Vector DB proficiency aligns with the JD's hybrid search requirement, Chennai-based; some concern on notice period 90d (JD prefers sub-30)."
CAND_0046525,7,0.908376,"Former LinkedIn engineer, now Senior Machine Learning Engineer at Genpact AI with 6+ years in ranking and retrieval systems; core competency in Sentence Transformers and 3 other JD-critical skills. Shows the pre-LLM production ML depth the JD values, Pune-based; some concern on notice period 60d (JD prefers sub-30)."
CAND_0092278,8,0.899228,"Senior NLP Engineer at Microsoft, IIT Delhi Computer Science graduate with 6 years in ranking and retrieval systems; core competency in Elasticsearch and 3 other JD-critical skills. Shows the pre-LLM production ML depth the JD values, Pune-based; some concern on notice period 90d (JD prefers sub-30)."
CAND_0039383,9,0.898012,"Applied ML Engineer at Meesho, IISc Bangalore Artificial Intelligence graduate with 7 years in ranking and retrieval systems; core competency in FAISS and 3 other JD-critical skills. Skill set overlaps with multiple JD requirements, Gurgaon-based; some concern on notice period 90d (JD prefers sub-30)."
CAND_0011687,10,0.897815,"Senior NLP Engineer at Niramai, IIT Delhi Artificial Intelligence graduate with 7 years in ranking and retrieval systems; core competency in OpenSearch and 4 other JD-critical skills. Vector DB proficiency aligns with the JD's hybrid search requirement, strong engagement (89% response rate), GitHub score 76."
CAND_0079387,11,0.897277,"AI Engineer at Microsoft, IIIT Hyderabad Computer Science graduate with 6 years in ranking and retrieval systems; core competency in Python and 6 other JD-critical skills. Skill set overlaps with multiple JD requirements, strong engagement (81% response rate), GitHub score 64."
CAND_0091909,12,0.89336,"Former Meta engineer, now Machine Learning Engineer at Rephrase.ai with 6+ years in ranking and retrieval systems; core competency in Pinecone and 4 other JD-critical skills. Directly fits the JD's production retrieval mandate, Bangalore-based; some concern on notice period 45d (JD prefers sub-30)."
CAND_0002025,13,0.888843,"Senior AI Engineer at Apple, IIIT Bangalore Data Science graduate with 5 years in ranking and retrieval systems; core competency in FAISS and 6 other JD-critical skills. Salary expectations align with senior IC compensation at this stage, strong engagement (80% response rate), GitHub score 96."
CAND_0030953,14,0.887536,"Search Engineer at Nykaa, Georgia Tech Data Science graduate with 7 years in ranking and retrieval systems; core competency in Qdrant and 3 other JD-critical skills. Directly fits the JD's production retrieval mandate and Chennai-based; some concern on notice period 45d (JD prefers sub-30)."
CAND_0041669,15,0.886946,"Recommendation Systems Engineer at CRED, IIT Guwahati Information Technology graduate with 7 years in ranking and retrieval systems; core competency in Milvus and 5 other JD-critical skills. Tenure fits the JD's 3+ year commitment preference, Noida-based; some concern on notice period 60d (JD prefers sub-30)."
CAND_0008425,16,0.884798,"Former Amazon engineer, now Senior NLP Engineer at Ola with 7+ years in ranking and retrieval systems; core competency in Learning to Rank and 6 other JD-critical skills. Matches the JD's 'product over research' profile, Tier-1 BITS Pilani background; some concern on notice period 90d (JD prefers sub-30)."
CAND_0018549,17,0.882982,"Former Flipkart engineer, now Recommendation Systems Engineer at Uber with 6+ years in ranking and retrieval systems; core competency in Weaviate and 4 other JD-critical skills. Salary expectations align with senior IC compensation at this stage, willing to relocate within India; some concern on notice period 60d (JD prefers sub-30)."
CAND_0017960,18,0.877509,"Recommendation Systems Engineer at Nykaa, IIT Delhi Information Technology graduate with 7 years in ranking and retrieval systems; core competency in Information Retrieval. Vector DB proficiency aligns with the JD's hybrid search requirement, Bangalore-based; some concern on notice period 60d (JD prefers sub-30)."
CAND_0050454,19,0.86797,"Former Uber engineer, now AI Engineer at Rephrase.ai with 6+ years in ranking and retrieval systems; core competency in FAISS. Skill set overlaps with multiple JD requirements, Delhi-based, Tier-1 IIT Kanpur background."
CAND_0088025,20,0.865094,"Staff Machine Learning Engineer at Yellow.ai with deep production experience in search, ranking, and recommendation systems; core competency in BM25 and 4 other JD-critical skills. Vector DB proficiency aligns with the JD's hybrid search requirement, Tier-2 COEP Pune background; some concern on notice period 90d (JD prefers sub-30)."
CAND_0027691,21,0.864165,"Former Meta engineer, now NLP Engineer at Haptik with 6+ years in ranking and retrieval systems; core competency in Recommendation Systems and 5 other JD-critical skills. Salary expectations align with senior IC compensation at this stage, Pune-based, Tier-2 Thapar University background."
CAND_0062247,22,0.863022,"AI Engineer at Google, IIT Bombay Machine Learning graduate with 7 years in ranking and retrieval systems; core competency in Vector Search and 5 other JD-critical skills. Salary expectations align with senior IC compensation at this stage, willing to relocate within India, strong engagement (78% response rate)."
CAND_0010257,23,0.862948,"Senior Data Scientist at Google with 6 years of applied AI/ML, including 3 years focused on ranking and retrieval; core competency in Milvus and 4 other JD-critical skills. Vector DB proficiency aligns with the JD's hybrid search requirement, Noida-based; some concern on notice period 120d."
CAND_0061265,24,0.862004,"Recommendation Systems Engineer at Zoho, IIT Madras Data Science graduate with 6 years in ranking and retrieval systems; core competency in Learning to Rank and 4 other JD-critical skills. Directly fits the JD's production retrieval mandate, Delhi-based; some concern on notice period 120d."
CAND_0033861,25,0.861496,"Senior NLP Engineer at Mad Street Den, IIT Madras Computer Engineering graduate with 7 years in ranking and retrieval systems; core competency in Elasticsearch and 7 other JD-critical skills. Directly fits the JD's production retrieval mandate and available within 30 days; some concern on low recruiter responsiveness."
CAND_0069905,26,0.860686,"Applied ML Engineer at Sarvam AI with 6 years of applied AI/ML, including 5 years focused on ranking and retrieval; core competency in Recommendation Systems and 4 other JD-critical skills. Salary expectations align with senior IC compensation at this stage, willing to relocate within India; some concern on notice period 90d (JD prefers sub-30)."
CAND_0046064,27,0.858155,"Former Amazon engineer, now Senior NLP Engineer at Salesforce with 8+ years in ranking and retrieval systems; core competency in Python and 5 other JD-critical skills. Directly fits the JD's production retrieval mandate, Tier-1 IIT Hyderabad background, strong engagement (78% response rate)."
CAND_0094759,28,0.856349,"Former Apple engineer, now Lead AI Engineer at Meta with 8+ years in ranking and retrieval systems; core competency in Semantic Search and 5 other JD-critical skills. Tenure fits the JD's 3+ year commitment preference, Mumbai-based; some concern on low recruiter responsiveness."
CAND_0037000,29,0.855413,"4-year retrieval/ranking specialist, currently Search Engineer at Unacademy (6.2 years verified from career history, 2.7 stated); core competency in FAISS and 5 other JD-critical skills. Skill set overlaps with multiple JD requirements, Noida-based; some concern on not marked open to opportunities."
CAND_0006567,30,0.854395,"Senior AI Engineer at Meta, IIT Bombay Machine Learning graduate with 5 years in ranking and retrieval systems; core competency in Python and 5 other JD-critical skills. Tenure fits the JD's 3+ year commitment preference, Noida-based; some concern on notice period 60d (JD prefers sub-30)."
CAND_0087630,31,0.854357,"7-year retrieval/ranking specialist, currently AI Engineer at Vedantu; core competency in Sentence Transformers and 5 other JD-critical skills. Platform assessment scores provide external skill validation, Gurgaon-based; some concern on not marked open to opportunities."
CAND_0044855,32,0.853994,"Former LinkedIn engineer, now Senior Data Scientist at Flipkart with 6+ years in ranking and retrieval systems; core competency in Learning to Rank and 6 other JD-critical skills. Matches the JD's 'product over research' profile, willing to relocate within India; some concern on notice period 60d (JD prefers sub-30)."
CAND_0052682,33,0.853493,"Former Salesforce engineer, now NLP Engineer at Aganitha with 6+ years in ranking and retrieval systems; core competency in Semantic Search and 3 other JD-critical skills. Vector DB proficiency aligns with the JD's hybrid search requirement, Tier-1 NIT Warangal background, 1 ML/cloud cert."
CAND_0005649,34,0.852664,"Former Amazon engineer, now Senior Data Scientist at Sarvam AI with 7+ years in ranking and retrieval systems; core competency in Recommendation Systems and 3 other JD-critical skills. Open-source presence provides JD-required external validation, Delhi-based; some concern on notice period 90d (JD prefers sub-30)."
CAND_0068811,35,0.851385,"Former Salesforce engineer, now Applied ML Engineer at Freshworks with 7+ years in ranking and retrieval systems; core competency in Vector Search and 5 other JD-critical skills. Directly fits the JD's production retrieval mandate, Pune-based, Tier-2 Thapar University background."
CAND_0093547,36,0.849896,"Senior Machine Learning Engineer at PhonePe, UC Berkeley Data Science graduate with 6 years in ranking and retrieval systems (6.2 years verified from career history, 2.9 stated); core competency in Milvus and 5 other JD-critical skills. Directly fits the JD's production retrieval mandate, 1 ML/cloud cert; some concern on notice period 60d (JD prefers sub-30)."
CAND_0075574,37,0.847972,"Machine Learning Engineer at Haptik, Carnegie Mellon University Computer Science graduate with 5 years in ranking and retrieval systems; core competency in Weaviate and 6 other JD-critical skills. Directly fits the JD's production retrieval mandate, Bangalore-based; some concern on notice period 60d (JD prefers sub-30)."
CAND_0075249,38,0.847716,"Applied ML Engineer at Zomato, IIT Hyderabad Artificial Intelligence graduate with 6 years in ranking and retrieval systems; core competency in Sentence Transformers and 4 other JD-critical skills. Salary expectations align with senior IC compensation at this stage and strong engagement (82% response rate); some concern on notice period 45d (JD prefers sub-30)."
CAND_0060054,39,0.847192,"Former Uber engineer, now AI Engineer at Mad Street Den with 6+ years in ranking and retrieval systems; core competency in Elasticsearch and 4 other JD-critical skills. Aligns with the JD's product-company preference, willing to relocate within India; some concern on not marked open to opportunities."
CAND_0027801,40,0.843461,"Former Uber engineer, now NLP Engineer at InMobi with 7+ years in ranking and retrieval systems; core competency in FAISS and 4 other JD-critical skills. Salary expectations align with senior IC compensation at this stage, Hyderabad-based; some concern on notice period 120d."
CAND_0007411,41,0.843168,"Senior Machine Learning Engineer at Amazon, IIT Roorkee Information Technology graduate with 7 years in ranking and retrieval systems; core competency in OpenSearch and 5 other JD-critical skills. Shows the pre-LLM production ML depth the JD values, willing to relocate within India; some concern on low recruiter responsiveness."
CAND_0057563,42,0.841854,"NLP Engineer at Locobuzz, BITS Pilani Computer Science graduate with 6 years in ranking and retrieval systems; core competency in Elasticsearch. Vector DB proficiency aligns with the JD's hybrid search requirement, willing to relocate within India; some concern on notice period 60d (JD prefers sub-30)."
CAND_0047721,43,0.841835,"Senior Data Scientist at Microsoft, IIT Kharagpur Machine Learning graduate with 7 years in ranking and retrieval systems; core competency in Learning to Rank and 5 other JD-critical skills. Directly fits the JD's production retrieval mandate, willing to relocate within India; some concern on notice period 90d (JD prefers sub-30)."
CAND_0009691,44,0.837143,"Former Amazon engineer, now Applied ML Engineer at LinkedIn with 6+ years in ranking and retrieval systems; core competency in Qdrant and 4 other JD-critical skills. Open-source presence provides JD-required external validation, willing to relocate within India; some concern on notice period 120d."
CAND_0070398,45,0.83702,"Former Uber engineer, now Machine Learning Engineer at Genpact AI with 7+ years in ranking and retrieval systems; core competency in BM25 and 6 other JD-critical skills. Salary expectations align with senior IC compensation at this stage, willing to relocate within India; some concern on notice period 120d."
CAND_0050876,46,0.830473,"Applied ML Engineer at Freshworks, Stanford University Machine Learning graduate with 5 years in ranking and retrieval systems; core competency in Sentence Transformers and 4 other JD-critical skills. Platform assessment scores provide external skill validation, 1 ML/cloud cert; some concern on notice period 90d (JD prefers sub-30)."
CAND_0086151,47,0.829926,"Former Meta engineer, now Recommendation Systems Engineer at Wysa with 7+ years in ranking and retrieval systems; core competency in Qdrant and 6 other JD-critical skills. Shows the pre-LLM production ML depth the JD values, willing to relocate within India; some concern on notice period 120d."
CAND_0015528,48,0.829185,"Applied ML Engineer at Krutrim, IIIT Bangalore Data Science graduate with 7 years in ranking and retrieval systems; core competency in Weaviate and 3 other JD-critical skills. Shows the pre-LLM production ML depth the JD values, GitHub score 50; some concern on not marked open to opportunities."
CAND_0028793,49,0.827869,"Former Amazon engineer, now Search Engineer at Google with 7+ years in ranking and retrieval systems; core competency in Embeddings. Shows the pre-LLM production ML depth the JD values, willing to relocate within India; some concern on notice period 120d."
CAND_0016163,50,0.826695,"Former Amazon engineer, now Applied ML Engineer at Dream11 with 6+ years in ranking and retrieval systems; core competency in Weaviate. Platform assessment scores provide external skill validation, Gurgaon-based; some concern on notice period 120d."
CAND_0000031,51,0.826554,"Former Uber engineer, now Recommendation Systems Engineer at Swiggy with 5+ years in ranking and retrieval systems; core competency in Pinecone and 4 other JD-critical skills. Skill set overlaps with multiple JD requirements, Hyderabad-based; some concern on notice period 60d (JD prefers sub-30)."
CAND_0007009,52,0.825437,"Former Netflix engineer, now Recommendation Systems Engineer at Wysa with 7+ years in ranking and retrieval systems; core competency in Python and 6 other JD-critical skills. Open-source presence provides JD-required external validation, Noida-based, Tier-2 Anna University background."
